,actor1,actor2,actor3,age,budget,city,country,daytype,decision,director,dominantEmo,endEmo,genre1,genre2,genre3,interaction,itemID,location,mood,movieCountry,movieLanguage,movieYear,physical,rating,season,sex,social,time,userID,weather
0,1303.0,1524.0,1656.0,33.0,9000000.0,20.0,2.0,2.0,1.0,234.0,2.0,2.0,7.0,5.807179927825928,15.329812049865723,1.0,14.0,1.0,2.0,36.0,9.0,2007.0,1.0,5,2.0,1.0,1.0,3.0,23.0,1.0
1,1636.0,1539.0,1402.0,28.0,90000000.0,10.0,3.0,2.0,2.0,775.0,2.0,2.0,7.0,6.0,10.0,2.0,5.0,1.0,2.0,37.0,9.0,1998.0,2.0,3,2.0,1.0,2.0,2.0,21.0,1.0
2,1373.0,1510.0,1691.0,28.0,24000000.0,10.0,3.0,2.0,2.0,33.0,2.0,2.0,7.0,10.0,18.0,1.0,6.0,1.0,1.0,37.0,9.0,2008.0,1.0,4,2.0,1.0,2.0,4.0,21.0,1.0
3,1382.0,57.0,1109.0,28.0,60000000.0,20.0,2.0,2.0,1.0,590.0,3.0,2.0,1.0,14.0,19.0,1.0,13.0,2.0,1.0,37.0,9.0,2010.0,1.0,4,3.0,1.0,3.0,3.0,22.0,2.0
4,98.0,385.0,1827.0,28.0,35000000.0,10.0,3.0,2.0,2.0,488.0,7.0,1.0,3.0,10.0,18.0,1.0,7.0,1.0,1.0,37.0,9.0,2003.0,1.0,3,2.0,1.0,2.0,4.0,21.0,1.0
5,482.0,1190.0,393.0,30.0,66067048.0,10.0,3.0,1.0,1.0,161.0,1.0,1.0,10.0,10.414904594421387,10.927533149719238,1.0,12.0,1.0,3.0,37.0,9.0,2003.0,1.0,5,3.0,1.0,7.0,3.0,20.0,1.0
6,384.0,93.0,715.0,28.0,4000000.0,10.0,3.0,1.0,2.0,195.0,5.0,7.0,1.0,8.0,21.0,2.0,15.0,1.0,1.0,37.0,9.0,1971.0,1.0,3,2.0,1.0,1.0,3.0,21.0,5.0
7,862.0,61.0,1378.0,30.0,20000000.0,10.0,3.0,1.0,2.0,346.0,2.0,2.0,7.0,18.0,18.0,1.0,11.0,1.0,1.0,37.0,9.0,2010.0,1.0,4,3.0,1.0,2.0,3.0,15.0,1.0
8,1803.0,251.0,1376.0,33.0,82000000.0,20.0,2.0,2.0,1.0,750.0,7.0,2.0,1.0,3.0,21.0,1.0,18.0,1.0,2.0,37.0,9.0,2010.0,1.0,4,2.0,1.0,1.0,2.0,23.0,2.0
9,190.0,558.0,1657.0,516.7311401367188,8000000.0,3.0,5.0,1.0,1.0,408.0,2.0,2.0,1.0,7.0,8.0,1.0,17.0,1.0,2.0,36.0,9.0,2010.0,1.0,5,3.0,2.0,2.0,4.0,26.0,1.0
10,1803.0,251.0,1376.0,362.56781005859375,82000000.0,3.0,5.0,1.0,1.0,750.0,2.0,2.0,1.0,3.0,21.0,1.0,18.0,1.0,2.0,37.0,9.0,2010.0,1.0,4,3.0,2.0,2.0,4.0,26.0,2.0
11,98.0,1181.0,328.0,836.8421020507812,110000000.0,3.0,5.0,1.0,1.0,618.0,7.0,7.0,1.0,17.0,21.0,1.0,16.0,1.0,2.0,37.0,9.0,2010.0,1.0,1,3.0,2.0,2.0,3.0,26.0,1.0
12,1635.0,869.0,1440.0,25.0,35000000.0,10.0,3.0,1.0,2.0,670.0,7.0,7.0,7.0,10.0,18.0,1.0,19.0,1.0,2.0,20.0,14.0,2005.0,1.0,2,2.0,1.0,2.0,2.0,27.0,1.0
