,userid,itemid,Time,Location,Companion,rating
0,1123,58,1.0,1.0,1.0,2
1,1123,33,1.0,1.0,1.0,4
2,1123,1,1.0,1.0,1.0,5
3,1123,0,1.0,1.0,1.0,3
4,1123,10,1.0,1.0,1.0,3
5,1090,41,1.0,1.0,1.0,3
6,1090,34,1.0,1.0,1.0,2
7,1090,18,1.0,1.0,1.0,4
8,1090,61,1.0,1.0,1.0,4
9,1090,75,1.0,1.0,1.0,3
10,1090,60,1.0,1.0,1.0,2
11,1090,69,1.0,1.0,1.0,2
12,1090,37,1.0,1.0,1.0,2
13,1088,33,1.0,1.0,1.0,4
14,1088,30,1.0,1.0,1.0,4
15,1088,15,1.0,1.0,1.0,5
16,1088,13,1.0,1.0,1.0,5
17,1088,10,1.0,1.0,1.0,5
18,1110,38,1.0,1.0,1.0,3
19,1110,14,1.0,1.0,1.0,3
20,1110,8,1.0,1.0,1.0,3
21,1110,26,1.0,1.0,1.0,3
22,1110,73,1.0,1.0,1.0,3
23,1110,63,1.0,1.0,1.0,3
24,1110,63,1.0,1.0,1.0,3
25,1110,23,1.0,1.0,1.0,3
26,1017,51,1.0,1.0,1.0,5
27,1017,54,1.0,1.0,1.0,5
28,1017,38,1.0,1.0,1.0,5
29,1017,14,1.0,1.0,1.0,5
30,1017,8,1.0,1.0,1.0,5
31,1021,38,1.0,1.0,1.0,4
32,1021,23,1.0,1.0,1.0,4
33,1021,7,1.0,1.0,1.0,5
34,1021,20,1.0,1.0,1.0,4
35,1021,49,1.0,1.0,1.0,5
36,1021,5,1.0,1.0,1.0,2
37,1021,0,1.0,1.0,1.0,2
38,1021,3,1.0,1.0,1.0,2
39,1095,66,1.0,1.0,1.0,5
40,1095,4,1.0,1.0,1.0,5
41,1095,12,1.0,1.0,1.0,5
42,1095,57,1.0,1.0,1.0,5
43,1095,78,1.0,1.0,1.0,4
44,1095,71,1.0,1.0,1.0,1
45,1095,68,1.0,1.0,1.0,1
