,UserID,ItemID,DrivingStyle,landscape,mood,naturalphenomena ,RoadType,sleepiness,trafficConditions,weather,Rating
0,1001,715,1,2,2,2,2,1,3,4,2
1,1001,267,1,2,4,4,2,2,3,2,4
2,1001,294,1,2,4,2,3,1,3,2,2
3,1001,259,1,4,4,2,3,1,3,4,4
4,1001,674,1,4,2,2,3,1,3,1,2
5,1001,674,1,4,1,4,3,2,3,4,2
6,1001,259,1,2,2,4,3,1,3,1,4
7,1001,715,1,4,4,4,3,1,3,2,2
8,1001,285,1,4,1,4,3,2,3,2,4
9,1001,279,1,1,2,2,3,2,3,4,2
10,1001,754,1,4,4,4,3,1,3,2,2
11,1001,694,1,2,1,4,3,2,3,4,4
12,1001,251,1,2,1,2,3,2,3,2,2
13,1001,279,1,4,4,4,3,1,1,4,2
14,1001,267,1,2,4,1,3,1,3,2,4
15,1001,285,1,2,2,4,3,1,3,2,4
16,1001,279,1,2,4,4,3,1,3,1,4
17,1001,285,2,2,2,1,3,1,3,4,4
18,1001,754,1,4,2,4,3,1,3,2,2
19,1001,715,1,4,2,2,3,1,2,4,3
20,1001,694,1,2,2,1,3,1,3,4,0
21,1001,294,1,1,2,2,3,2,3,4,2
22,1001,251,1,2,4,4,3,1,3,2,3
23,1001,251,1,4,4,4,3,1,3,1,2
24,1001,294,2,4,2,1,2,2,3,4,4
25,1001,674,2,2,2,2,3,1,3,4,3
26,1001,267,1,4,4,4,1,1,3,4,4
27,1001,694,1,2,4,2,3,2,3,4,4
28,1001,754,1,4,4,2,1,1,3,4,2
29,1001,259,1,2,1,2,3,2,3,4,4
30,1001,259,1,2,4,4,3,1,3,2,1
31,1001,694,2,4,4,2,3,1,3,2,5
32,1001,267,1,2,4,4,3,1,3,4,4
33,1001,251,1,4,2,2,3,1,3,4,2
34,1001,715,1,2,4,4,3,1,3,1,1
35,1001,285,1,2,2,4,3,1,3,2,4
36,1001,674,1,4,4,2,3,1,3,1,4
37,1001,294,1,2,4,2,3,1,3,4,2
38,1001,279,1,4,2,2,1,1,3,4,4
39,1001,754,1,2,1,2,3,2,3,4,2
40,1002,279,1,2,2,2,1,2,3,4,1
41,1002,250,1,4,1,4,3,1,3,4,1
42,1002,702,1,2,1,2,3,2,3,4,3
43,1002,714,1,4,4,4,3,1,1,4,1
44,1002,762,1,4,2,2,2,1,3,4,3
45,1002,275,1,2,2,2,2,2,3,2,3
46,1002,295,1,2,4,4,3,1,3,4,5
47,1002,757,1,2,2,2,1,1,3,4,1
48,1002,727,1,2,4,2,2,1,3,2,1
49,1002,715,1,4,2,2,2,1,3,4,5
50,1002,256,1,4,1,4,3,1,2,2,1
51,1002,702,2,4,4,2,3,1,3,2,4
52,1002,726,1,2,4,2,3,2,3,2,4
53,1002,730,1,4,2,4,2,1,3,2,3
54,1002,715,1,1,2,4,3,1,3,4,3
55,1002,251,1,2,4,4,3,1,3,4,3
56,1002,762,1,4,2,2,1,1,1,4,1
57,1002,718,1,2,2,4,3,1,3,2,1
58,1002,256,1,2,4,4,2,1,3,1,1
59,1002,745,2,4,4,2,3,1,3,2,2
60,1002,263,1,1,2,4,3,1,3,1,5
61,1002,757,2,4,4,4,3,1,3,4,1
62,1002,295,1,2,4,4,2,1,3,1,2
63,1002,732,1,4,1,4,3,2,3,4,1
64,1002,718,1,4,4,4,3,1,1,2,1
65,1002,683,1,2,4,4,3,1,3,4,3
66,1002,751,1,2,4,4,3,1,3,1,3
67,1002,250,2,4,4,2,2,1,3,4,1
68,1002,718,1,2,4,4,2,1,3,2,2
69,1002,757,1,4,2,4,3,1,1,4,1
70,1002,732,2,4,4,2,3,1,3,2,1
71,1002,751,1,2,1,4,3,2,2,4,1
72,1002,719,1,4,2,4,3,1,3,1,1
73,1002,716,1,4,2,2,3,2,3,2,1
74,1002,745,2,2,2,2,1,1,3,4,5
75,1002,714,1,1,2,4,3,1,3,2,1
76,1002,295,2,4,4,4,3,1,3,2,4
77,1002,737,1,2,1,4,2,2,3,4,1
78,1002,275,1,2,1,2,3,2,3,2,2
79,1002,273,1,4,1,2,3,2,3,2,2
80,1002,676,1,2,4,2,3,1,3,1,2
81,1002,251,1,4,2,2,2,2,3,4,3
82,1002,683,1,4,2,4,3,1,3,4,4
83,1002,737,1,2,4,4,3,1,3,4,1
84,1002,730,1,2,1,2,3,1,3,4,3
85,1002,716,2,4,4,2,3,1,3,4,2
86,1002,727,1,2,2,2,3,1,3,1,2
87,1002,714,1,4,2,4,3,1,3,4,3
88,1002,250,2,4,2,2,3,2,3,4,2
89,1002,279,2,4,2,4,3,1,3,4,1
90,1002,760,1,2,2,1,2,2,3,4,4
91,1002,748,1,4,4,4,3,1,1,2,1
92,1002,702,1,4,2,2,1,1,3,4,3
93,1002,676,1,1,2,2,3,2,3,2,1
94,1002,748,1,4,2,2,1,1,1,4,1
95,1002,744,1,4,2,4,3,1,3,1,1
96,1002,760,2,2,4,2,1,1,3,4,5
97,1002,279,1,4,4,4,3,1,3,2,1
98,1002,744,2,4,2,1,3,1,3,4,2
99,1002,273,1,2,2,2,3,2,3,4,1
